create_date:2021-03-09
SITE_ID,GRP_COUNTRY,GRP_DOI,GRP_DOI_CONTRIBUTOR,GRP_DOI_ORGANIZATION,GRP_FLUX_MEASUREMENTS,GRP_HEADER,GRP_IGBP,GRP_LAND_OWNERSHIP,GRP_LOCATION,GRP_NETWORK,GRP_REFERENCE_PAPER,GRP_RESEARCH_TOPIC,GRP_SHIPPING_ADDRESS,GRP_SITE_CHAR,GRP_SITE_DESC,GRP_SITE_FUNDING,GRP_TEAM_MEMBER,GRP_TOWER_POWER,GRP_TOWER_TYPE,GRP_URL_AMERIFLUX,GRP_UTC_OFFSET,GRP_CLIM_AVG,GRP_ACKNOWLEDGEMENT,GRP_DOM_DIST_MGMT,GRP_STATE,GRP_URL,GRP_BIOMASS_CHEM,GRP_HEIGHTC,GRP_LAI,GRP_NEP,GRP_SOIL_CHEM,GRP_SOIL_CLASSIFICATION,GRP_SOIL_DEPTH,GRP_SOIL_TEX,GRP_SPP_O,GRP_AG_BIOMASS_OTHER,GRP_AG_BIOMASS_SHRUB,GRP_AG_BIOMASS_TREE,GRP_AG_LIT_BIOMASS,GRP_AG_LIT_PROD,GRP_DM_PLANTING,GRP_LMA,GRP_PHEN_EVENT_TYPE,GRP_ROOT_BIOMASS,GRP_SA,GRP_SNAG_MASS,GRP_SPP_U,GRP_STUMP_MASS,GRP_WD_BIOMASS,GRP_DM_FORESTRY,GRP_AG_LIT_CHEM,GRP_DM_GRAZE,GRP_AMF_VAR_AGG,GRP_AG_PROD_OTHER,GRP_AG_PROD_SHRUB,GRP_AG_PROD_TREE,GRP_DM_FIRE,GRP_DM_GENERAL,GRP_ROOT_CHEM,GRP_ROOT_PROD,GRP_DM_INS_PATH,GRP_N_DEP,GRP_DOI_RELATED_DATA_DOI,GRP_AG_BIOMASS_CROP,GRP_DM_AGRICULTURE,GRP_DM_FERT_M,GRP_DM_PESTICIDE,GRP_DM_TILL,GRP_AG_PROD_CROP,GRP_INST,GRP_INSTPAIR,GRP_DM_EXT_WEATHER,GRP_DM_ENCROACH,GRP_BASAL_AREA,GRP_DBH,GRP_SOIL_STOCK,GRP_SWC,GRP_TREES_NUM,GRP_DM_WATER,GRP_BG_LIT_PROD,GRP_STEM_INCR,GRP_WD_PROD,GRP_AG_BIOMASS_GRASS,GRP_TEAM_CONTACT
AR-TF1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR-TF2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-CMT,1,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-CST,1,1,1,2,4,1,1,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-Cui,1,0,0,0,2,1,1,1,1,1,0,1,1,1,1,1,3,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-Ma2,1,0,0,0,2,1,1,1,1,2,16,0,0,1,1,1,9,1,1,1,1,1,0,1,1,1,4,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-Npw,1,1,5,7,4,1,1,1,1,1,2,1,0,1,1,1,5,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-PRS,1,0,0,0,2,1,1,1,1,1,0,1,0,1,1,1,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-Sa1,1,1,1,2,1,1,1,0,1,2,18,1,0,0,1,1,2,0,0,1,1,1,0,0,0,1,0,9,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR-Sa3,1,1,1,2,1,1,1,0,1,1,18,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
